"x","y"
69.1094444444444,983
22.8322222222222,911
22.4691666666667,910
22.3538888888889,909
23.5163888888889,913
23.5741666666667,914
23.7183333333333,914
23.7344444444444,914
23.3736111111111,912
21.4877777777778,903
21.0730555555556,899
21.1202777777778,899
21.155,900
21.1855555555556,900
21.2025,901
20.7533333333333,898
20.755,899
21.8202777777778,905
21.4561111111111,902
21.4763888888889,902
21.5016666666667,904
21.4927777777778,904
26.8847222222222,928
26.6775,924
26.7166666666667,925
26.7186111111111,926
26.7719444444444,927
27.7858333333333,933
27.88,934
27.8922222222222,935
27.3063888888889,929
27.4211111111111,930
27.6661111111111,931
24.5330555555556,917
24.6313888888889,919
24.4136111111111,915
20.0616666666667,890
24.4422222222222,916
24.6425,920
24.8638888888889,921
19.0344444444444,876
18.0869444444444,859
18.035,858
18.0302777777778,858
17.8927777777778,856
17.8961111111111,856
17.9594444444444,857
17.9647222222222,857
18.2194444444444,860
18.4294444444444,866
18.4630555555556,868
18.3930555555556,866
18.2797222222222,861
18.2966666666667,862
18.3241666666667,863
18.3055555555556,863
18.3547222222222,864
18.3572222222222,865
20.0288888888889,888
20.0511111111111,888
20.1002777777778,890
19.8019444444444,887
19.8394444444444,887
20.49,894
20.6047222222222,896
20.2391666666667,891
20.2755555555556,893
19.3969444444444,877
19.4433333333333,878
19.4722222222222,879
19.3511111111111,876
19.6386111111111,884
19.7255555555556,887
19.6263888888889,884
19.5461111111111,880
19.5958333333333,881
80.8086111111111,985
70.7611111111111,984
83.1816666666667,985
96.9077777777778,985
53.5027777777778,971
54.5211111111111,975
50.1938888888889,970
55.0863888888889,976
56.3202777777778,977
56.5480555555556,979
56.5836111111111,980
56.5369444444444,978
8.30111111111111,105
8.29416666666667,105
9.23888888888889,164
33.2052777777778,951
33.8686111111111,951
11.17,491
32.3119444444444,946
32.7925,947
32.8411111111111,948
35.4952777777778,954
35.4919444444444,954
35.4983333333333,955
35.7122222222222,956
34.3269444444444,951
49.1055555555556,967
10.2211111111111,303
35.3211111111111,953
32.2277777777778,945
28.9825,937
29.1433333333333,938
29.2283333333333,939
27.9708333333333,937
29.2805555555556,940
29.3297222222222,942
29.5127777777778,943
29.6308333333333,944
45.0666666666667,965
45.2619444444444,967
45.3811111111111,967
49.1327777777778,967
49.4855555555556,968
49.7936111111111,969
49.0733333333333,967
38.4625,960
39.6488888888889,961
39.6891666666667,962
36.0411111111111,958
36.0436111111111,958
36.0730555555556,959
44.5366666666667,964
44.5769444444444,964
42.2266666666667,963
43.415,964
8.95722222222222,134
8.96694444444444,136
8.82944444444444,131
8.86388888888889,133
8.86527777777778,133
9.04,140
9.05222222222222,143
9.05444444444444,143
9.05527777777778,144
9.03527777777778,139
9.00916666666667,137
9.01805555555556,138
8.78777777777778,130
8.52527777777778,115
8.58111111111111,116
8.59583333333333,117
8.59694444444444,117
8.60972222222222,118
8.46611111111111,114
8.71611111111111,124
8.25972222222222,102
8.72194444444444,125
8.77444444444444,128
8.775,129
8.66555555555555,120
8.66638888888889,121
8.69472222222222,123
9.06083333333333,146
9.46111111111111,173
9.485,175
9.31944444444444,169
9.325,170
9.33777777777778,171
9.63111111111111,179
9.66833333333333,180
9.68638888888889,181
9.56722222222222,178
9.58333333333333,178
9.10527777777778,153
9.10944444444444,154
9.12638888888889,156
9.15055555555556,159
9.07277777777778,146
9.07527777777778,147
9.07583333333333,148
9.07944444444444,149
9.08555555555555,150
9.0925,151
9.10111111111111,152
9.2475,165
9.27277777777778,167
9.16277777777778,161
9.20805555555556,162
8.15916666666667,86
8.16083333333333,87
8.16861111111111,88
8.18472222222222,90
8.21,93
8.08166666666667,75
8.08194444444444,75
8.10583333333333,78
8.12111111111111,80
8.11222222222222,79
8.21472222222222,94
8.31111111111111,106
8.38805555555555,109
8.40444444444444,110
8.24777777777778,98
8.25694444444444,100
8.27777777777778,103
8.28388888888889,104
14.3072222222222,646
14.3158333333333,647
13.9336111111111,641
13.9377777777778,641
14.1397222222222,645
15.7738888888889,658
15.9061111111111,661
14.695,652
14.8061111111111,654
14.8105555555556,655
12.66,584
12.7730555555556,586
12.7741666666667,587
12.7763888888889,588
12.4722222222222,584
12.4508333333333,583
12.4133333333333,582
12.0125,560
12.0738888888889,562
12.1025,564
12.1258333333333,566
12.1386111111111,567
12.1597222222222,568
12.1836111111111,569
12.1891666666667,570
12.1947222222222,571
12.2319444444444,572
12.2355555555556,573
12.2858333333333,577
12.3127777777778,579
12.3955555555556,580
12.3975,581
12.8519444444444,592
12.8538888888889,593
12.8583333333333,594
13.3097222222222,614
13.34,614
13.3533333333333,615
13.3544444444444,616
13.3647222222222,617
13.3936111111111,618
13.3977777777778,619
13.4033333333333,620
13.4458333333333,621
13.5094444444444,623
13.5322222222222,624
13.5341666666667,625
13.6108333333333,627
13.6286111111111,628
13.6297222222222,629
13.64,630
13.6541666666667,632
13.6575,633
13.6577777777778,634
13.6669444444444,635
13.6680555555556,636
13.2877777777778,613
13.2463888888889,612
13.2280555555556,611
13.2136111111111,610
12.8797222222222,595
12.895,596
12.9308333333333,597
12.9591666666667,599
12.9680555555556,600
12.9733333333333,601
13.68,637
12.9827777777778,602
13.0894444444444,604
13.1258333333333,605
13.1336111111111,606
13.1627777777778,608
12.9869444444444,603
16.0272222222222,664
17.2941666666667,785
17.3322222222222,786
17.3463888888889,788
17.3558333333333,789
17.3580555555556,792
17.3641666666667,794
17.3730555555556,795
17.3916666666667,798
17.4602777777778,803
17.4775,805
17.4783333333333,805
17.4655555555556,804
17.4766666666667,805
17.2916666666667,784
17.4833333333333,806
16.9633333333333,763
16.9655555555556,764
16.9822222222222,767
17.0280555555556,768
17.0319444444444,769
17.0394444444444,770
17.0611111111111,773
17.0938888888889,774
17.0975,775
17.1955555555556,777
17.2072222222222,778
17.2166666666667,779
17.22,780
17.245,781
17.2730555555556,782
17.5216666666667,808
17.6655555555556,834
17.6744444444444,836
17.685,837
17.7025,839
17.7027777777778,840
17.7030555555556,841
17.7075,842
17.7427777777778,847
17.745,849
17.7458333333333,850
17.7847222222222,852
17.8,853
17.6611111111111,832
17.5333333333333,810
17.5394444444444,811
17.5472222222222,812
17.5561111111111,814
17.5647222222222,815
17.5847222222222,816
17.5880555555556,817
17.6172222222222,822
17.6427777777778,825
17.6455555555556,827
17.6480555555556,828
17.6488888888889,829
17.6108333333333,819
16.0188888888889,663
16.9280555555556,760
16.1652777777778,688
16.1813888888889,689
16.1902777777778,691
16.1911111111111,692
16.2041666666667,694
16.205,695
16.2091666666667,696
16.2102777777778,697
16.2108333333333,698
16.2219444444444,699
16.2313888888889,700
16.3019444444444,703
16.3133333333333,704
16.3325,705
16.3338888888889,706
16.335,707
16.3416666666667,708
16.1383333333333,686
16.3425,710
16.1227777777778,685
16.1019444444444,684
16.0363888888889,666
16.0386111111111,667
16.045,669
16.0530555555556,672
16.0680555555556,674
16.0713888888889,676
16.0891666666667,679
16.0961111111111,681
16.1005555555556,683
16.345,711
16.3488888888889,714
16.5727777777778,735
16.6088888888889,736
16.6516666666667,738
16.6613888888889,739
16.6969444444444,740
16.6986111111111,741
16.7033333333333,742
16.7086111111111,743
16.7144444444444,744
16.7272222222222,745
16.7566666666667,746
16.8269444444444,748
16.8527777777778,751
16.8669444444444,752
16.8716666666667,753
16.8758333333333,754
16.8841666666667,755
16.905,757
16.5716666666667,735
16.5713888888889,734
16.5652777777778,732
16.3716666666667,716
16.3761111111111,717
16.9155555555556,759
16.3897222222222,718
16.3994444444444,720
16.4122222222222,722
16.4322222222222,723
16.4491666666667,726
16.4686111111111,727
16.5447222222222,730
16.5511111111111,731
16.3944444444444,719
17.8338888888889,855
10.1838888888889,298
10.1958333333333,299
10.1972222222222,301
10.2033333333333,302
10.2177777777778,303
10.2219444444444,304
10.2277777777778,305
10.2280555555556,306
10.2291666666667,307
10.2325,308
10.2344444444444,309
10.2377777777778,312
10.245,314
10.2508333333333,317
10.2516666666667,318
10.1794444444444,297
10.1752777777778,295
10.125,274
10.1277777777778,276
10.1280555555556,277
10.1319444444444,278
10.1411111111111,280
10.1422222222222,281
10.1430555555556,282
10.1444444444444,283
10.1491666666667,284
10.1591666666667,286
10.1625,288
10.1636111111111,289
10.1683333333333,292
10.1730555555556,293
10.0013888888889,236
10.1736111111111,294
10.1744444444444,294
10.1783333333333,296
10.2591666666667,320
10.2608333333333,321
10.3541666666667,347
10.3552777777778,348
10.3791666666667,353
10.38,354
10.3888888888889,355
10.4,356
10.4038888888889,357
10.4133333333333,358
10.4136111111111,359
10.4158333333333,360
10.4161111111111,361
10.4238888888889,362
10.4286111111111,363
10.4311111111111,364
10.4413888888889,365
10.3483333333333,345
10.3325,343
10.2686111111111,325
10.275,326
10.2766666666667,328
10.1227777777778,273
10.2861111111111,331
10.2905555555556,333
10.3008333333333,334
10.3063888888889,336
10.3188888888889,338
10.3286111111111,339
10.3291666666667,340
10.3305555555556,341
10.3308333333333,342
10.4513888888889,369
10.1058333333333,271
9.86361111111111,207
9.86722222222222,209
9.87888888888889,215
9.88027777777778,216
9.89388888888889,217
9.89611111111111,218
9.90194444444444,219
9.90972222222222,220
9.91083333333333,221
9.92583333333333,222
9.93694444444444,223
9.93805555555556,224
9.94694444444444,225
9.9475,226
9.94805555555556,227
9.71194444444444,182
9.72305555555556,184
9.72638888888889,185
9.73305555555556,186
9.73555555555556,188
9.73722222222222,189
9.73888888888889,190
9.74388888888889,191
9.75888888888889,192
9.78861111111111,194
9.79583333333333,195
9.80472222222222,196
9.82944444444444,199
9.84277777777778,202
9.84833333333333,204
10.0661111111111,250
10.0736111111111,251
10.0741666666667,252
10.0763888888889,254
10.0791666666667,255
10.0794444444444,256
10.0819444444444,258
10.0841666666667,259
10.0855555555556,260
10.0863888888889,263
10.0866666666667,264
10.0908333333333,265
10.095,267
10.0988888888889,269
10.1027777777778,270
10.0647222222222,249
10.0627777777778,248
10.0577777777778,247
9.98833333333333,232
9.99611111111111,233
10,234
10.0008333333333,235
10.0088888888889,237
10.0269444444444,240
10.0447222222222,242
10.0458333333333,242
10.0527777777778,243
10.0555555555556,245
10.0244444444444,239
11.9711111111111,557
10.4541666666667,372
11.1308333333333,485
11.1694444444444,491
11.1733333333333,492
11.19,493
11.1938888888889,495
11.1977777777778,496
11.2102777777778,497
11.2402777777778,499
11.2566666666667,500
11.2808333333333,501
11.2869444444444,504
11.2894444444444,505
11.3013888888889,506
11.1188888888889,484
11.3063888888889,507
11.1075,482
10.9938888888889,465
11.01,468
11.0255555555556,468
11.04,473
11.0411111111111,474
11.0416666666667,475
11.0605555555556,479
11.0919444444444,480
11.1,481
11.3261111111111,508
11.67,535
11.6866666666667,536
11.7069444444444,537
11.71,538
11.7161111111111,539
11.7288888888889,540
11.735,541
11.7427777777778,542
11.7616666666667,543
11.7858333333333,544
11.7922222222222,545
11.7997222222222,546
11.8058333333333,546
11.8208333333333,547
11.8316666666667,548
11.8413888888889,549
11.8622222222222,550
11.8663888888889,551
11.9541666666667,555
11.665,534
11.655,533
11.6516666666667,532
11.6480555555556,531
11.3461111111111,510
11.3555555555556,511
11.3661111111111,512
11.375,513
11.4291666666667,514
11.4872222222222,516
11.4927777777778,517
10.9877777777778,464
11.5341666666667,519
11.5580555555556,521
11.5625,522
11.5708333333333,523
11.5772222222222,524
11.6222222222222,527
11.6252777777778,528
11.6322222222222,529
11.6408333333333,530
11.535,520
10.9858333333333,463
10.5997222222222,398
10.6005555555556,399
10.6097222222222,401
10.6130555555556,403
10.6136111111111,404
10.6141666666667,404
10.6219444444444,407
10.6230555555556,408
10.6333333333333,410
10.6336111111111,411
10.6383333333333,413
10.6502777777778,416
10.6505555555556,417
10.5783333333333,395
10.4572222222222,373
10.4852777777778,374
10.5016666666667,376
10.5105555555556,377
10.5177777777778,378
10.5277777777778,379
10.53,380
10.5316666666667,381
10.5436111111111,383
10.5458333333333,385
10.5525,386
10.5572222222222,387
10.5605555555556,388
10.5641666666667,389
10.5675,390
10.5680555555556,391
10.575,394
10.6633333333333,418
10.6708333333333,419
10.8927777777778,447
10.8952777777778,448
10.9130555555556,451
10.9466666666667,453
10.9683333333333,457
10.9772222222222,460
10.9808333333333,461
10.8702777777778,444
10.8344444444444,444
10.6783333333333,421
10.6797222222222,423
10.7005555555556,425
10.7111111111111,427
10.725,429
10.7341666666667,430
10.7488888888889,432
10.7541666666667,434
10.7555555555556,435
10.7625,437
10.7641666666667,438
10.775,440
10.7761111111111,441
10.7986111111111,442
10.8191666666667,443
10.8322222222222,443
22.7777777777778,911
19.7988888888889,887
20.5855555555556,895
19.7341666666667,887
19.6113888888889,883
22.2808333333333,907
22.3241666666667,908
22.3416666666667,909
22.3797222222222,909
22.4566666666667,909
22.3752777777778,909
22.2680555555556,906
50.0505555555556,969
34.0619444444444,951
23.1172222222222,911
20.5905555555556,895
19.5894444444444,880
4.50972222222222,52
4.755,53
22.4369444444444,909
23.5122222222222,913
22.2586111111111,906
22.4227777777778,909
22.4652777777778,910
22.2441666666667,906
22.2538888888889,906
23.7011111111111,914
21.4522222222222,902
18.5475,868
42.4797222222222,963
9.43,172
9.33694444444444,170
9.36111111111111,172
9.50722222222222,175
9.51694444444444,176
9.59527777777778,178
9.55055555555556,177
9.1275,157
9.13361111111111,158
9.22222222222222,162
12.1963888888889,571
17.5208333333333,807
17.7436111111111,848
17.6566666666667,830
17.5302777777778,809
17.6313888888889,824
16.0802777777778,678
10.1966666666667,300
10.3058333333333,335
9.83472222222222,200
11.1497222222222,488
11.1030555555556,481
11.3391666666667,509
11.5722222222222,524
24.2105555555556,914
24.2147222222222,914
24.2263888888889,914
24.2472222222222,915
24.8705555555556,921
38.4605555555556,960
23.2066666666667,911
18.6688888888889,870
9.37166666666667,172
9.5275,177
9.58083333333333,178
10.1233333333333,273
9.95361111111111,228
1.67722222222222,40
2.01888888888889,41
2.07694444444444,42
2.41833333333333,43
1.0725,32
1.09666666666667,33
1.26416666666667,35
1.27361111111111,36
1.36666666666667,38
2.65416666666667,44
